review_id,prof_ID,rating,review
57,155,3.0,"before you take any of his classe you should have a masters in english. he cares more about your grammar than your content. he doesn't make very clear points, and he tests on things that he doesn't teach, and arent in the books. nice man but perhaps not the best teacher."
58,155,5.0,language and culture this class was great. be patient through the linguistics and the culture part is awesome! be warned you will only get an a if you earn it completely. read everything asked of you and do the workbook assignments. brian's hilarious and extremely fair. very fun class. highly recommended.
59,155,5.0,bryan is one of the best asl and deaf history teachers i have ever had! pay attention and you can't go wrong.
60,155,4.5,"he was my teacher for years. he knows alot about deaf culture, history and linguistics. i loved having him and it was a lot of fun. it was very educational for me. if it werent for him, then i wouldn't be able to know a lot of things because i am currente"
61,155,5.0,"he is very good. he likes to take the time to teach his students. he care's about how they do. if you don't understand something, he is willing to actually help you. keeps class entertaining."
62,155,2.0,i am very disappointed in this class. i have decided against taking any asl classes because of this instructor. i have also changed my major because of this class.
63,155,5.0,"very knowledgeable about the topic. asl clear and easy to read. expects a lot from his students and makes you earn that a, but you come away from his classes with improved skill in asl and more knowledge about topics relating to the deaf. highly recomended."
65,155,5.0,very interesting. willing to help and respects people's oppinions. very knowledgable about the subject.
66,155,4.5,"very good asl deaf history teacher. well informed, clear signs and fair instructor."
67,1371,1.0,"took online course. day after midterms i was the only one who turned in the next assignment. rest of the year was 3 people turning in their homework. took off points for incorrect comments, not just incorrect code. hyper specific. bad teacher. wouldnt even help me install the software properly, gave no link to online instructions either."
68,1371,1.0,"this professor should not teach. he does not actually care about whether or not his students fail. he does not give instruction but rather is a grader. and when he does give feedback it's not productive, he just tells you what you did wrong. there is no helpful criticism. he is just out for an ego boost."
69,1371,1.0,he does not do a very good job of actually instructing. if you can't meet with him during his how to schedule face to face meeting hours then you're screwed as far as learning more. good luck actually learning how to do anything from him.
70,1371,1.0,"he will give you a zero for even the smallest of errors. does not answer questions or help, just tells you to read the book. his grading system is completely outrageous, and the class is more about following his ever growing set of rules than learning to code. not at all what i expected from an introductory coding class."
71,1371,1.0,"although this professor sticks to his syllabus when grading, his system is outrageous. i was deducted 22 points from the first assignment, out of 20 points possible idk how that makes sense 10 of which was for a single incorrect output when my other six were correct. gives no credit for correct lines of code, only deducts for wrong ones."
72,1371,1.0,"he doesn't answer questions, and won't meet with students unless you submit your questions to him first. over 60 percent of the class has dropped out. he has insulted students, and doesn't grade fairly. i told him i was having trouble on quizzes. he told me to read the book. he is an embarrassment for dmacc. don't take his class."
73,1371,1.0,"his syllabus announcements use 5 different fonts and is just a list of all of the things you aren't allowed to do. this class isn't about learning to code, it's about remembering his rules. don't bother asking him for help. he won't answer questions. if you follow his rules on how to ask questions, he will respond, but he will not help you."
74,1371,1.0,missed the first assignment because i was moving. did every assignment thereafter and he had me dropped at midterms for not attending. does not give clear instructions and he doesn't seem to care at all about the students. i get the impression he is one of those people that is miserable and wants everyone else to be miserable as well.
75,1371,1.0,"this professor has no concept of how to teach a class. i should have read the warning signs. he waits until the refund date for classes to actually assign homework, his list of specifications took a full minute just to scroll through. he double deducts points because he lists them in different ways. do not take. he enjoys taking points off."
76,1371,1.0,horrible gives no help to students and expects unrealistic levels of perfection on homework
77,1371,1.0,"i should have listened to the reviews on here! avoid this instructor at all cost!! i started the class, did my first assignment, got 4 out of 5 correct, and received a 50 percent grade! unrealistic expectations from this instructor! dropped this class after the first quiz to get a refund."
78,1371,1.0,this teacher will not inspire you to be a better programmer. he takes pride in deducting as many points as possible. do you want to get 50 percent on an assignment because you forgot to comment the chapter assignment number and didn't use 100 percent correct naming conventions even though your program runs flawlessly? then this professor is for you.
79,1371,1.0,"should've listened to everyone on here. not sure how this guy still has a job. unreal requirements that would not apply in the real world. all based on what he wants to see, not what is logical. even if you're work is correct, it has to be done in his ridiculously specific manner in order, and you will still lose points. avoid at all costs!"
80,1371,1.0,"both books outdated, one by 9 years. he did not explain his way on how to turn in assignments properly. explanation for everything is repetition of syllabus and reread. 4 open days is required to meet. he insulted students and scares students from giving instruction on discussion board. the download is provided to him."
81,1371,1.0,horrible instructor! wish i had looked him up before taking his class. change to another instructor immediately. deducts points like it's going out of style. fully functioning solutions with documentation deducted points for unclear technicalities.
82,1371,1.0,hands down worst teacher ever. drop now!! he is not helpful and takes joy in handing out 0's. consider yourself warned...
83,1371,1.5,drop this class immediately. absolutely will not teach anything that is not needed for the assignments. flat out said he wouldn't answer my question about something in the textbook because we wouldn't need it for any assignments. you are better off buying the book and using stackoverflow for your questions.
84,1371,1.0,"easily the worst teacher i've ever had. his idea of teaching was just read the book. he would look for any excuse to give 0's on assignments. i got one on the 1st assignment of the semester, not because it was late, but because i sent it as attachment in email instead using blackboard. it seemed to me like he was only there to collect a paycheck."
85,1371,1.5,"warning by far the worst online teacher no communication skills, no desire to help"
86,1371,1.5,showed his assignments and emails to it personnel i work with and was adivsed that his class wouldn't be of use in the real world.
87,769,4.0,"knows alot, the class is long and boring but she gives good notes."
88,769,5.0,"originally didn't enjoy this woman, however, she is unfortunately stuck with teaching the worst subject of all time.. i like her alot as a person, she is very dry and not interested in what she's teaching, but who could blame her? give her a shot she's ok emoji"
90,769,3.5,one word. dry.
91,769,5.0,"great teacher, learned a lot from her class. she is very helpful and is willing to meet with you after class if you are having trouble. though shes a very hard grader, she is reasonable. take her class only if you are willing to learn and work."
92,769,2.5,very tough... not funny. but i learned alot! overall not bad.
93,769,4.5,"very helpful, and she knows her stuff. she is willing to help you with any questions you may have."
94,769,1.5,boring as dirt
95,769,1.0,"horrible professor, graded unfairly, will give you the same grade for projects based off your first project grade... bias toward girls.. terrible experience with her for building tech..."
96,769,3.0,"talks like the shabby sheak lady on hgtv, ohmygod, informative, helpful, funny in dry way, but there were no handouts, she and charlie read from a freaking novel that they expected us to write down, 'scuse me, but i've got carpel tunnel! p'd me off!"
97,769,5.0,"great professor to take, very professional."
98,769,4.5,this was probably one of my favorite studios. lauren was very helpful and professional as well as working out details.
99,769,2.5,"don't get sick during semester. u'll get no sympathy. needs nu wardrobe, safari attire good thing she designs arch not clothing. bases grades on pers opinion, not ur work. best wishes if u get stuck with her."
107,303,4.0,"pluss is hysterical and made comm research methods bearable. there are no surprises here and the final is just the four quizzes she gave throughout the semester. of those four, she drops the lowest one. there were 5 assignments, 5 quizzes including the final. the material can be dry but that's not on her. she made a boring class fun, take her."
108,303,3.0,professor pluss is sweet and upbeat. her quizzes are about 40 questions. however she does drop the lowest of the 4. there is a group project and a final project. easy a if you study for the quizzes.
109,303,2.0,i took her for research methods and had to drop her class half way. nice lady but veryyyyy tough grader and gives you an f even if you do the work. i had 5 fs even though i did my work and gave everything on time usually gives 12 assignments and the final research project. the lectures are pretty long. overall i do not reccomend.
110,303,1.5,"professor pluss grades assignments very harshly, even when you put effort into them. not clear when explaining material and class is very boring."
111,303,4.0,"i believe she has changed her teaching style since these last comments. she's very into the class, but its just too much for a 110 course. had to curve the mid term and final because the averages were 70s. she would be great for a higher level course, but you can definitely take an easier professor for this class."
112,303,5.0,great professor! i love this class. she sso helpful and teaches in an interesting way. the test and quiz was challenging but it was all good! study cause you will need to know your stuff! very fun class.
113,303,5.0,"she is a best professor. we had 2 project, and 2 exam. i passed her class with a, a or b. i am not sure. however, she is helpful. if you need a good grade and want to take the course, i say take her class. she is helpful, and a great professor. trust me."
114,303,5.0,"she's a great professor who give a fantastic introduction to the university. if you have a chance to take her, go for it!"
115,303,5.0,super nice lady and the class is super easy
116,303,4.5,"the easiest a i ever got. easiest grader at wpu. you're told what's going to be on the exams and speeches are graded more on effort and organization. don't worry, you don't have to give a powel or obama like delivery."
117,303,5.0,i love this professor! profanity she is awesome. definitly take her.
118,303,5.0,excellent professor and loves what she is teaching. she is very nice and willing to help. take her if you can! very pleasant working environment and very down to earth.
119,303,5.0,easy a. short homework assignments due weeekly and easy midterm and final.
120,303,5.0,"she is a very fair professor the material is easy and she makes it interesting. no midterm just weekly homework assignments, a speech, and a few papers. i had a lot of fun in the class and i think she's a great instructor. very sweet!"
121,303,3.0,"very nice woman, but really isnt the teaching type. in a semester, we learned maybe...10 things total which she kept repeating over and over and over again... she's pretty easy though, final, midterm, speech and a paper."
122,303,3.0,shes nice and occasionally has fun in class assignments but most of the time its just boring common sense material. tests are essays and study guides are very broad. not much to evaluate your grade.
124,303,4.0,"she grades on the final, midterm, 1 short paper, 1 5 min speech, and attendance. the paper and speech are easy but the tests are tough. she gives study guides but they cover a lot of material. answers emails very quickly."
125,303,4.5,she is very easy but you have to show up to classes because she covers the material on the test in class.
126,303,4.5,"pros pluss is very nice, she tries to make class fun. her grading is fair and if you take her notes you are sure to pass her tests. she only assigns about 1 report on a movie and 1 oral report, shes pretty easygoing and class was not hard at all."
130,876,4.5,she's cool. sometime laughs upsettingly loud but that's not from an evil intention. she enjoys teaching. class is about critical writing and provides fun discussion time. it goes in appropriate pace so it's easy to keep up. homework amount is moderate.
131,876,5.0,"she is a very nice teacher. she is really clear on what she wants us to accomplish. tries and helps students understand as much as possible. grades fair, but a little hard. do the homework, a few essays from the readings but she will walk you through it"
133,876,5.0,"in addition to those two smiling faces below, she is fair! you'll do your homework and you'll be fine! she is encouraging, motivating, consistent, practical and understanding. she prepares you well for final so you can not fail! no tricks! there should be more teachers like her in sdsu!! it is a journey that you don't regret while in school and after."
134,876,5.0,she is one of the best professors i've ever had she really cares about her students and their learning experience. she actually teaches. i learned so much from her. the only people who have any problems are the lazy ones that never go to class. plus she's really cute. emoji
135,876,4.5,"mary is a very cute lady funny clothes!... she gives examples of a papers, makes you write pre paragraphs and discusses what is good and bad in them before the essays are due very clear, only 3 quizzes easy. i got an a 97 and adored her, class was only boring if you didn't add to the conversation."
136,876,1.0,i did not know there is a teacher in this world that is lazy as she is. she dismisses the class very early so if some student did not undrestand thay have to learn themselves at home. but if you are lazy as she is and do not want to learn anything you may take her class. do not worry she either gives you a grade to pass or not
137,876,2.5,she isnt as hot as everyone is saying and her class is usually boring... she drops your grade for bad attendence... essays and assignments are easy enough though
138,876,3.0,shes too damn liberal. i think shes a communist. she tries to politicize english. thats not the way it should be.
139,876,2.5,one word boring... sooo boring... her lectures are unorganized.
140,876,5.0,great teacher. very helpful and understanding.
141,876,2.0,"she is not all that.. lectures are boring,,, takes atendance and lower you score for missing class. not helpful..."
142,876,5.0,i never thought i would like a writing class. she is very nice and helpfull. good looking also.
143,876,5.0,she's an awesome professor! i never thought i will enjoy writing til i had her as my professor!
144,876,5.0,"she is a very nice beautiful kind helpful teacher! if you are motivated for learning, definitly you can make it! but, please show up and hand in assignment on time emoji very important"
145,876,5.0,grammar and language made easy should be the tittle of her class. excellent professor!
146,876,5.0,"great teacher, hot. very helpful."
147,1315,3.0,doesn't really teach the class. she just breaks us down into small groups and we have to read and do group discussions every class. not much homework. gives you study guides for the exam but doesnt really review. overall dont take her if you dont like group discussions and if you can't teach yourself.
148,1315,3.0,"lots of reading, does give a review sheet but exams are not easy if you don't read the chapters.. you have to spread to groups every class and discuss the readings.. if you hate reading or group discussions don't take her class!!"
149,1315,5.0,i had professor francese a few semesters back. i called on her for a letter of ref and she was all about it. she was as helpful later as she was in class. do the reading do the work and you'll be fine. she is very open minded and likeable
150,1315,2.5,"i think that the women studies class would have been more interesting if i took another teacher. francese seems like a nice person, and her heart is in the right place, but i just don't think she is teacher material. he class is boring, i dreaded going. sorry ms francese but its the truth!"
151,1315,2.5,"tests extremely difficult, unless you actually memorize each of the 80 definitions she hands out for you to look up. the tests also have little to do with class discussions. homework read 100 pages a week. her attitude standoffish, does not understand this is a gen. ed. i'm a studio art major, which means more time consuming work than most oth"
152,1315,2.5,"ugh! ridiculous! francese is a nece person and seems to have a good heart, but does have an attitude problem. her class is very boring, it could be an interesting class but she makes it boring!"
153,1315,1.0,"the reading is absolutely ridiculuos. the chapters are 80 or more pages long that needs to be read for the next week discussion. the book is so boring, things that you absolutly would not have interest. she says that she can't judge us based on our opinions but she does during discussion. don't take her."
154,1315,4.0,"this was the easiest of all the classes i took this semester, if you take her at night she lets you out early, you get no break either way, pretty much gives you the answers to the test and there is a opinion paper, class is all discussion with 1 video and she trys to get guest speakers, there is a short oral presentation on a reading of your choice."
155,1315,2.5,didn't really like her or the class. the whole semester you'll think you're doing good and then when your final grade is a d don't be surprised. if you would like to read and memorize and entire book her exams are all fill in the blank then take this class.
156,1315,3.0,her tests were imposible. the reading is rediculous. you have to memorize stuff that ultimatly means nothing.
157,1315,4.0,"a lot of reading. a lot of memorization for the tests, which are tough even if you read. classtime is pretty much all discussion. do all the readings, and study for the tests, and you'll do okay. not a class i looked forward to, though."
158,1315,4.5,very knowledged professor who knows what she's talking about and does not try to push her own opinions on topics raised in class onto her students. the class is very interesting and she will open your eyes to a new world.
159,1315,5.0,she is awesome. i wish i needed to take more classes because i would definitly find something she was teaching. she is very easy and laid back. she really knows what she is talking about because she works in the field with abused women.
160,1315,5.0,very good teacher.. wouldnt mind taking her for another class.. very fair with the work given! 0
161,1315,4.5,class was intereseting... the whole class was involved.... she was very nice.... cancelled class a few times... i would take her again for another class...
162,1315,4.5,she was very nice... the assignments were clear.... very easy going... i enjoyed going to her class... she kept the class involved
163,1315,2.0,"she gives a lot of reading!! all we did in class was read a reading from the book as a group and then discuss it, preety easy! her tests are easy if you read the book. she was absent about 4 times, which was good for us. overall. i dont regret taking her"
164,169,4.5,doctor white is one of the best professors i have ever had. she truly loves students and what she teaches. she is like a mother in the classroom. she is also really funny. she gives pop quizzes a lot and there is assigned reading.
165,169,5.0,"great teacher, knows what she is talking about. super nice and funny, explains things clearly."
166,169,5.0,"she is the best professor i ever had in my life! great personality and very knowledgeable! very respectful, professional and helpful. even if you were not perfect but were working hard she will give you great grade! she is my favorite professor and absolutely recommend her class!!!"
167,169,5.0,she is the best professor i ever had in my life! great personality and very knowledgeable! respectful to students and very helpful. even if you were not perfect but were working hard she will give you great grade! i love her so much! profanity
168,169,3.5,"doctor white has a very outspoken personality. if she sees you sleeping or daydreaming, she will call you out. however, she is an amazing teacher. truly knows what she is talking about and really wants you to actually learn. if you enjoy pr, take her. i would recommend her to everyone."
