review_id,prof_ID,rating,misc_d,amusement_misc,comedy_intensity,funny_score,review
17888,1000,5.0,0.61,0.1156284850385708,0.11673953024689417,0.07121111345060543,"I love Mrs. Yancey. She is so funny! Class notes come in handy for the tests, but other than that her class is a lot of discussions. She is from Mississippi and makes fun of herself and her family a lot, which is refreshing. Take her if you can!"
13048,598,5.0,0.75,0.0915711166908755,0.0928414296444961,0.06963107223337207,AWSOME professor. So much fun and HILLARIOUS personality.
10137,718,5.0,0.53,0.127121063193184,0.1279799155366114,0.06782935523440405,Wonderful woman! Very funny. Highly recommend for World Lit! Reading is minimal and test expectations are clear.
1188,923,4.0,0.62,0.1060476840164224,0.10884152087354491,0.06748174294159785,"not always clear, but alwasy entertaining and very sweet"
11457,1302,4.0,0.52,0.1281387148163477,0.1287603699859341,0.06695539239268573,"Todd\'s really fun in class and defintiely into what he\'s teaching. Be ready for him to get really side tracked and share quite a bit about his personal life. It\'s almost always hilarious though. He really cares about what he teaches and when he assigns readings, you really do need to do them. If not, you can get by but it\'ll be difficult."
3237,797,5.0,0.62,0.1060132232955393,0.10713562679621812,0.06642408861365523,"LInda is so nice and so much fun. This class really prepares you for all of your other college classes. She will help you with anything, and she is way funny too."
19500,672,4.0,0.69,0.0949794833707654,0.09527399571528208,0.06573905704354463,"She is easy if she likes you and you WILL know if she likes you. BE OUTGOING and FUNNY and you\'ll do well. She really gives like, 110% if you are funny and bring props out of your ass. If she doesn\'t like you, you will get C\'s... Its that simple."
8102,355,2.5,0.64,0.1015979977943884,0.10205196811031007,0.06531325959059844,"He gets bored with his own lectures and dismisses class early. You only need the access code really, no point in buying the book since you can get the code separately. He tries to tell jokes, I don\'t think he realizes we\'re laughing at him not with him, but whatever. Overall easy class to pass, worth putting up with Bosworth\'s strangeness."
18101,1020,1.0,0.55,0.1070687979882372,0.11815842119935277,0.06498713165964402,This class was horible! I hated the professor and the content of the course. She is Crazy!! Whatever you do don\'t take Soc 101 with her. I hear there are way better professor that teach the course. I best thing was how we made fun of her shoes that she wore each day!! that was fun!
2097,484,3.5,0.51,0.1245558426624823,0.12503619928346582,0.06376846163456756,Honestly I need sometime to understand what he said because he got pretty strong accent but it ain\'t a problem to listen later on. Most of the test are MC and even Final. The questions are straight forward. What u need to do is just keep up with his homework(even though he did not really check it...lol) then u would not have any problem in class:)
18406,908,5.0,0.5,0.1262742018130872,0.12735656931381753,0.06367828465690877,I\'m a freshman second semester. My friend was signed up for Blitz class and convinced me to take it with her. I am very glad I did. Prof. Blitz class is fun but also serious about the idea of worlds. He can be funny but also makes you think totally new thoughts about everything. He has a nice coteacher who has her own style which is very nice.
16519,428,5.0,0.54,0.1171461723967497,0.1178651124057287,0.0636471606990935,"She is very helpful, funny, and can dress lol. She makes class fun so the work wont seem like work. She will make sure you learn the material. If you need help she is more than happy to help. Shes great."
6508,918,5.0,0.64,0.083697241931657,0.09806309296451303,0.06276037949728834,He is so awesome!! Funny and cute!! Explains all the course material!! Very interesting...
10873,1292,5.0,0.54,0.1144876553052136,0.11500097680158522,0.06210052747285602,"Hahaha guys,pls give him a break. Math isn\'t an easy subject.First, you all should admirer him for being ""smarta$$"". Second, you should spend more time to study rather than sitting here complaining about him. He\'s a great professor. Although LB isn\'t a hottie but he\'s definitely a cutie[sometimes:)"
4843,45,5.0,0.78,0.077582690871219,0.07886938220568776,0.061518118120436456,Awesome prof! She makes American Lit so much fun!
8993,1304,5.0,0.5,0.1216201297854,0.12262195564517728,0.06131097782258864,HE IS THE MAN! i have had him for every class he teaches and he is my favorite teacher at EKU. he is hilarious and very smart and has some great stories to tell
16465,676,1.0,0.6,0.0995423588341075,0.10015801233033429,0.06009480739820057,"The reviews are most definitely correct about her . She is very defensive, and wont let you get a point across . She is very funny but rude at time . The class is a easy grade tho . The book is not really needed buy an online book for cheap ."
777,311,5.0,0.56,0.1063715134924094,0.10727881031402689,0.060076133775855065,Dennis is by far the best teacher I\'ve ever had. He\'s hilarious and brilliant. He is also an incredible person and anyone who gets to know him is very lucky. His classes are incredible--take one.
8520,421,1.0,0.54,0.1103566590224544,0.11091452583313177,0.05989384394989116,"Absolute worst professor any one in college could ever take. He does absolutely nothing to help the students. Half of what he ""teaches"" had nothing to do with the class. I actually tried to go in to his office hours to ask for help, but after one question he smiled, laughed, and turned his back on me. Overall he\'s rude and the most useless profesor"
11563,1178,5.0,0.61,0.0954600041323378,0.09665813046241357,0.05896145958207228,"This man cracks me up! I absolutely love going to his class everyday! He is an awesome teacher! I think everyone needs to take a lit class with him! Yah, go DB!"
13744,1061,1.0,0.64,0.0907872264866013,0.09125479797336458,0.058403070702953336,"This guy is useless and arrogant. He converted a regular class into a blended one and kept assigning research papers for students to read, while he himself sits at home. He is never in his office. Most hilarious is that if you ask him something he doesn\'t know, he will tell you a long story about the work he did at Morgan Stanley 20 yrs ago."
18660,168,5.0,0.51,0.1117922042485454,0.11370461545904201,0.05798935388411142,"He is honestly the best professor I have ever had at Dutchess. I\'ve been going to Dutchess for two years and out of all he professors I have ever had he is my favorite. He has a very thick accent, but he makes fun of it himself so it is all out of fun. He truly cares about your education and he wants you to do well. Absolutely amazing."
13255,910,5.0,0.79,0.0726208737775703,0.07296528730667805,0.057642576972275664,"I would take his class a hundred times!!! The most hilarious man I have ever known. If it came down to hanging out with friends or going to Critelli\'s class, I would not hesitate to cancel plans with friends."
3720,317,4.5,0.53,0.1067871151560322,0.10786620310184779,0.05716908764397933,somewhat boring but has his random funny times which you dont expect and hes super nice to talk to. you learn a lot in this class and the tests/exams are really easy. good class overall
4512,1205,1.0,0.67,0.0830728006525616,0.08355744906143917,0.05598349087116424,the proverbial one trick pony. typical never built a thing professor.ask to see his work. its laughable...
19860,1239,5.0,0.64,0.0848949455926267,0.08586452862450956,0.05495329831968612,"Most BEAUTIFUL professor ever! I guarantee I miss her more than anyone. Summer is so smart, down to earth, smokin hot, and really funny too. All of her lectures were great but the one on CMC and WBTs were my favorite. I hope I see her again on campus but her modeling career has taken off!!!"
14645,1352,4.5,0.64,0.0834004627077298,0.08394199409191686,0.053722876218826786,"He\'ll spend the first hour talking about current events. Digresses so much it\'s insane Funny old guy with good stories and one-liners. Study guide has everything you need to know, so show up if you want. Easy A."
19955,664,5.0,0.55,0.0946804504141149,0.09537620202540226,0.052456911113971244,"This professor is amazing! He was incredibly funny, really had a love for film, and knew all there was to know about it. Highly recommend taking this class over fosters if you love film. The plus side is you don\'t have to buy fosters book new also! Just sit back, take some notes, and watch some great films."
18421,908,5.0,0.54,0.0920585555458378,0.09676404331805784,0.052252583391751234,"Didn\'t realize how famous he was until I came here, LOL. On THAT note: YES! He\'s tough, fair but intimidating & will make you WORK for that grade. (Prof Sarna is gr8 as well!) You will NOT succeed if you\'re excessively absent/lazy. I HATED participating and he picked up on it so he would make me do it but it\'s all to make you better as a student!"
6377,1286,4.5,0.51,0.1011037075392776,0.10215235943458331,0.05209770331163749,He was so awesome and funny. He really opened my eyes to sociology and how incredibly interesting it is. He has an awesome sense of humor and is a very real guy. He class is really easy and he never takes attendance. Definitely take him for SOC!
11578,26,1.0,0.65,0.0662068219701669,0.0781817393104518,0.050818130551793676,What a clown! We all couldn\'t stand the class! Glad she\'s gone - her book is a joke.
10476,573,5.0,0.54,0.0932210559753386,0.09385369936999777,0.0506809976597988,"Mr.C is great. He dose make up his own words but it\'s kinda funny. He\'ll talk up until the very last second of the class so don\'t expect to go home early, ever. Lost of written assignments but they\'re easy. And easy A. oh yeah, turn your cell phone off in class or he\'ll get mad"
10512,906,1.0,0.52,0.0805016534669689,0.09732329019242555,0.05060811090006129,Unrealistic!! Avoid him!! He is so struck on himself that he does not lecture on important material. He likes hearing himself talk. He is interesting but a joke too.
10870,1292,4.5,0.52,0.0952156879146719,0.09578130233402969,0.04980627721369544,Easy Class Easy Professor. He tries to joke with the class 2 add humor. Likes ppl 2 participate. NE problems ask & he will help. Do reviews homework & take notes ull b fine. Easy way to make an A. Qt in a hat oh ask him to wear a skirt lol LB is the best!
5779,244,3.0,0.52,0.0937170750798293,0.09515483223792265,0.04948051276371978,"Overall a good teacher. She is pretty boring though, although she throws out a joke every now and again. Her grading is fair and the tests are too bad."
10150,718,5.0,0.64,0.074537225927086,0.07632937880695823,0.04885080243645327,"Oh my, I only have good things to say about her class. I was dreading comp II, but she made is soooo enjoyable...TAKE HER!! I have always HATED writing and all that kind of stuff, but she made is relatively fun for me! AND I got a good grade!"
1737,1262,4.0,0.76,0.0637946667490705,0.0641250573463145,0.04873504358319902,"Tarkow is a great guy. Some of his jokes get a little old after a while, especially his comparisons to Wal-Mart and MU sports teams. Eager to help and enjoys what he does."
12058,840,5.0,0.59,0.0807278312579503,0.0818676733170023,0.048301927257031356,"I took her just for an arthumanities and since I like to write, I thought this was perfect. In this class we all sat in a circle, had group discussions, critiqued each other, and she gave awesome feedback. It\'s very open and laid back; plus she\'s hilarious and sweet."
12020,1146,5.0,0.75,0.0636134929504394,0.06405406804795305,0.04804055103596479,Dr. Mirabella is the best! She is a totally awesome person and really sweet! Not to mention funny! She is a really excellent teacher!
6711,755,5.0,0.75,0.0631324443426469,0.06339975650309695,0.047549817377322716,"Dr. Schbig was awesome in the fact that he was incredibly easy. Made an ""A"" no problem. He will put you to sleep while talking, and has a dry, old since of humor, but its funny. Not a bad teacher for Biology. Would recommend because he\'s incredibly easy!"
8968,1072,1.5,0.68,0.0685236356407391,0.06882830809734616,0.046803249506195396,"I generally love all my teachers because I check them on here. This teacher, however, was extremely inappropriate. He made jokes about handicapped kids the first day. He spent at least two months looking at uncovered people, mostly women and even admitted to going to an adult site for some of his material. Won\'t take again."
